date,inflation rate,unemployment rate,GDP_change
Mar 2023,16.1,,
Feb 2023,18.4,5.5,
Jan 2023,16.6,5.5,
Dec 2022,16.6,5.2,
Nov 2022,17.5,5.1,
Oct 2022,17.9,5.1,2
Sep 2022,17.2,5.1,
Aug 2022,16.1,5.2,
Jul 2022,15.6,5.2,3.6
Jun 2022,15.5,5.2,
May 2022,13.9,5.4,
Apr 2022,12.4,5.6,5.8
Mar 2022,11,5.8,
Feb 2022,8.5,5.9,
Jan 2022,9.4,5.9,8.6
Dec 2021,8.6,5.4,
Nov 2021,7.8,5.4,
Oct 2021,6.8,5.5,8.5
Sep 2021,5.9,5.6,
Aug 2021,5.5,5.8,
Jul 2021,5,5.9,6.5
Jun 2021,4.4,6,
May 2021,4.7,6.1,
Apr 2021,4.3,6.3,12.2
Mar 2021,3.2,6.4,
Feb 2021,2.4,6.6,
Jan 2021,2.6,6.5,0.2
Dec 2020,2.3,6.3,
Nov 2020,3,6.1,
Oct 2020,3,6.1,-1.8
Sep 2020,3.2,6.1,
Aug 2020,2.9,6.1,
Jul 2020,3,6.1,-1
Jun 2020,3.3,6.1,
May 2020,2.9,6,
Apr 2020,3.4,5.8,-7.8
Mar 2020,4.6,5.4,
Feb 2020,4.7,5.5,
Jan 2020,4.3,5.5,2.7
Dec 2019,3.4,5.2,
Nov 2019,2.6,5.1,
Oct 2019,2.5,5,3.4
Sep 2019,2.6,5.1,
Aug 2019,2.9,5.2,
Jul 2019,2.9,5.2,4.2
Jun 2019,2.6,5.3,
May 2019,2.4,5.4,
Apr 2019,2.2,5.6,5.2
Mar 2019,1.7,5.9,
Feb 2019,1.2,6.1,
Jan 2019,0.7,6.1,5.2
Dec 2018,1.1,5.8,
Nov 2018,1.3,5.7,
Oct 2018,1.8,5.7,4.9
Sep 2018,1.9,5.7,
Aug 2018,2,5.8,
Jul 2018,2,5.8,5.2
Jun 2018,2,5.8,
May 2018,1.7,6.1,
Apr 2018,1.6,6.3,5.3
Mar 2018,1.3,6.6,
Feb 2018,1.4,6.8,
Jan 2018,1.9,6.8,5.2
Dec 2017,2.1,6.6,
Nov 2017,2.5,6.5,
Oct 2017,2.1,6.6,5.1
Sep 2017,2.2,6.8,
Aug 2017,1.8,7,
Jul 2017,1.7,7,5.5
Jun 2017,1.5,7,
May 2017,1.9,7.3,
Apr 2017,2,7.6,4.3
Mar 2017,2,8,
Feb 2017,2.2,8.4,
Jan 2017,1.8,8.5,4.6
Dec 2016,0.8,8.2,
Nov 2016,0,8.2,
Oct 2016,-0.2,8.2,2.8
Sep 2016,-0.5,8.3,
Aug 2016,-0.8,8.4,
Jul 2016,-0.9,8.5,2.8
Jun 2016,-0.8,8.7,
May 2016,-0.9,9.1,
Apr 2016,-1.1,9.4,3.4
Mar 2016,-0.9,9.9,
Feb 2016,-0.8,10.2,
Jan 2016,-0.9,10.2,3.1
Dec 2015,-0.5,9.7,
Nov 2015,-0.6,9.6,
Oct 2015,-0.7,9.6,4.6
Sep 2015,-0.8,9.7,
Aug 2015,-0.6,9.9,
Jul 2015,-0.7,10,3.6
Jun 2015,-0.8,10.2,
May 2015,-0.9,10.7,
Apr 2015,-1.1,11.1,3.3
Mar 2015,-1.5,11.5,
Feb 2015,-1.6,11.9,
Jan 2015,-1.4,11.9,3.8
