date,inflation rate,unemployment rate,GDP_change
2023-03-31,16.1,,
2023-02-28,18.4,5.5,
2023-01-31,16.6,5.5,
2022-12-31,16.6,5.2,
2022-11-30,17.5,5.1,
2022-10-31,17.9,5.1,2
2022-09-30,17.2,5.1,
2022-08-31,16.1,5.2,
2022-07-31,15.6,5.2,3.6
2022-06-30,15.5,5.2,
2022-05-31,13.9,5.4,
2022-04-30,12.4,5.6,5.8
2022-03-31,11,5.8,
2022-02-28,8.5,5.9,
2022-01-31,9.4,5.9,8.6
2021-12-31,8.6,5.4,
2021-11-30,7.8,5.4,
2021-10-31,6.8,5.5,8.5
2021-09-30,5.9,5.6,
2021-08-31,5.5,5.8,
2021-07-31,5,5.9,6.5
2021-06-30,4.4,6,
2021-05-31,4.7,6.1,
2021-04-30,4.3,6.3,12.2
2021-03-31,3.2,6.4,
2021-02-28,2.4,6.6,
2021-01-31,2.6,6.5,0.2
2020-12-31,2.3,6.3,
2020-11-30,3,6.1,
2020-10-31,3,6.1,-1.8
2020-09-30,3.2,6.1,
2020-08-31,2.9,6.1,
2020-07-31,3,6.1,-1
2020-06-30,3.3,6.1,
2020-05-31,2.9,6,
2020-04-30,3.4,5.8,-7.8
2020-03-31,4.6,5.4,
2020-02-29,4.7,5.5,
2020-01-31,4.3,5.5,2.7
2019-12-31,3.4,5.2,
2019-11-30,2.6,5.1,
2019-10-31,2.5,5,3.4
2019-09-30,2.6,5.1,
2019-08-31,2.9,5.2,
2019-07-31,2.9,5.2,4.2
2019-06-30,2.6,5.3,
2019-05-31,2.4,5.4,
2019-04-30,2.2,5.6,5.2
2019-03-31,1.7,5.9,
2019-02-28,1.2,6.1,
2019-01-31,0.7,6.1,5.2
2018-12-31,1.1,5.8,
2018-11-30,1.3,5.7,
2018-10-31,1.8,5.7,4.9
2018-09-30,1.9,5.7,
2018-08-31,2,5.8,
2018-07-31,2,5.8,5.2
2018-06-30,2,5.8,
2018-05-31,1.7,6.1,
2018-04-30,1.6,6.3,5.3
2018-03-31,1.3,6.6,
2018-02-28,1.4,6.8,
2018-01-31,1.9,6.8,5.2
2017-12-31,2.1,6.6,
2017-11-30,2.5,6.5,
2017-10-31,2.1,6.6,5.1
2017-09-30,2.2,6.8,
2017-08-31,1.8,7,
2017-07-31,1.7,7,5.5
2017-06-30,1.5,7,
2017-05-31,1.9,7.3,
2017-04-30,2,7.6,4.3
2017-03-31,2,8,
2017-02-28,2.2,8.4,
2017-01-31,1.8,8.5,4.6
2016-12-31,0.8,8.2,
2016-11-30,0,8.2,
2016-10-31,-0.2,8.2,2.8
2016-09-30,-0.5,8.3,
2016-08-31,-0.8,8.4,
2016-07-31,-0.9,8.5,2.8
2016-06-30,-0.8,8.7,
2016-05-31,-0.9,9.1,
2016-04-30,-1.1,9.4,3.4
2016-03-31,-0.9,9.9,
2016-02-29,-0.8,10.2,
2016-01-31,-0.9,10.2,3.1
2015-12-31,-0.5,9.7,
2015-11-30,-0.6,9.6,
2015-10-31,-0.7,9.6,4.6
2015-09-30,-0.8,9.7,
2015-08-31,-0.6,9.9,
2015-07-31,-0.7,10,3.6
2015-06-30,-0.8,10.2,
2015-05-31,-0.9,10.7,
2015-04-30,-1.1,11.1,3.3
2015-03-31,-1.5,11.5,
2015-02-28,-1.6,11.9,
2015-01-31,-1.4,11.9,3.8
